id_recinte,id_ua,capa_dwg,superficie_dwg,nom_dwg,assignat_per,estat,vist_a,nota,centre_x,centre_y,canvi
R0067,CAMP_BERNAT_TOMAS,01 1 UA SUC,15338.9,Camp Bernat Tomàs,proposta,vigent,parcelles.json,,536889.56,25995.86,IGUAL
R0068,CASA_ARENY_1,01 2 UA SUNC,1460.2,Casa Areny 1,proposta,vigent,parcelles.json,,536892.39,25790.05,IGUAL
R0069,TORRENT_DEL_PONT,01 3 UA SUBLE,10894.2,Torrent del Pont,proposta,vigent,parcelles.json,,536893.64,26257.11,IGUAL
R0070,CASA_ARENY_1,01 2 UA SUNC,20085.2,Casa Areny 1,proposta,vigent,parcelles.json,,536923.6,25936.36,IGUAL
R0071,VILA_DEL_SOL,01 1 UA SUC,7278.8,Jaumet; Vila del Sol,proposta,vigent,parcelles.json,,536930.55,26188.41,IGUAL
R0072,,01 2 UA SUNC,548.0,,,vigent,parcelles.json,,536939.81,25811.08,IGUAL
R0073,RIBERAIGUES_ALTES,01 3 UA SUBLE,10986.4,Riberaigües  Altes,proposta,vigent,parcelles.json,,536941.41,25870.75,IGUAL
R0074,VALIRA_D_ORIENT,01 1 UA SUC,7992.5,Valira d'Orient,proposta,vigent,parcelles.json,,536945.5,25688.24,IGUAL
R0075,JAUMET,01 11 UA SUCc,2022.0,,proposta,vigent,parcelles.json,,536956.21,26203.45,IGUAL
R0076,VENTIGA,01 1 UA SUC,3059.3,Ventiga,proposta,vigent,parcelles.json,,536976.01,26084.13,IGUAL
R0077,OBAGA,01 3 UA SUBLE,2892.3,Obaga,proposta,vigent,parcelles.json,,536988.96,26040.46,IGUAL
R0078,ENGOLASTERS_1,01 3 UA SUBLE,31008.6,Engolasters 1; Restaurant Font Moles,proposta,vigent,parcelles.json,,536993.76,24922.34,IGUAL
R0079,CAL_NOTARI_7,01 1 UA SUC,4035.6,Cal Notari 7,proposta,vigent,parcelles.json,,536997.54,26161.79,IGUAL
R0080,CASA_ARENY_1,01 2 UA SUNC,3481.2,Casa Areny 1,proposta,vigent,parcelles.json,,537011.26,25765.27,IGUAL
R0081,CAL_NOTARI_9,01 3 UA SUBLE,4881.6,Cal Notari 9,proposta,vigent,parcelles.json,,537021.89,26146.29,IGUAL
R0082,RIBERAIGUES_BAIXES,01 1 UA SUC,5071.0,Baixes; Riberaigües,proposta,vigent,parcelles.json,,537025.62,25941.01,IGUAL
R0083,PUI_D_ENCAMP_1,01 3 UA SUBLE,59154.0,Pui d'Encamp 1,proposta,vigent,parcelles.json,,537029.29,25626.93,IGUAL
R0084,PRADA_DE_MOLES_BAIXA,01 2 UA SUNC,5825.2,Prada de Moles Baixa,proposta,vigent,parcelles.json,,537072.61,25790.01,IGUAL
R0085,,01 2 UA SUNC,301.9,,,vigent,parcelles.json,,537083.35,25770.19,IGUAL
R0086,,01 3 UA SUBLE,301.9,,,vigent,parcelles.json,,537083.35,25770.19,IGUAL
R0087,TORRENT_ESTRET_1,01 1 UA SUC,6870.9,Torrent Estret 1,proposta,vigent,parcelles.json,,537098.09,26397.51,IGUAL
R0088,TORRENT_ESTRET_2,01 3 UA SUBLE,3028.6,,proposta,vigent,parcelles.json,,537100.5,26360.67,IGUAL
R0089,SANT_MARC,01 1 UA SUC,9738.7,Sant Marc,proposta,vigent,parcelles.json,,537131.83,26168.61,IGUAL
R0090,AVIAR_2,01 3 UA SUBLE,25050.1,Aviar 2,proposta,vigent,parcelles.json,,537140.84,26244.62,IGUAL
R0091,GODI,01 11 UA SUCc,21280.0,Godí,proposta,vigent,parcelles.json,,537142.51,26475.32,IGUAL
R0092,RESTAURANT_RIBA,01 1 UA SUC,369.2,,proposta,vigent,parcelles.json,,537145.05,25032.65,IGUAL
R0093,AVIAR_5,01 2 UA SUNC,20889.2,Aviar 5,proposta,vigent,parcelles.json,,537151.18,26099.94,IGUAL
R0094,AVIAR_3,01 2 UA SUNC,11848.0,Aviar 3,proposta,vigent,parcelles.json,,537175.86,26357.45,IGUAL
R0095,PRADA_DE_MOLES_ALTA,01 1 UA SUC,22731.1,Costelles Altes 1; Costelles Altes 2; Costelles Altes 3; Prada de Moles Alta,proposta,vigent,parcelles.json,,537177.58,25935.1,IGUAL
R0096,FENEROLS_1,01 3 UA SUBLE,10179.2,Fenerols 1,proposta,vigent,parcelles.json,,537177.82,27204.16,IGUAL
R0097,RESTAURANT_FONT_MOLES,01 1 UA SUC,1113.9,,proposta,vigent,parcelles.json,,537184.22,24998.46,IGUAL
R0098,COSTELLES_ALTES_1,01 1 UA SUC,3623.7,,proposta,vigent,parcelles.json,,537190.19,25844.88,IGUAL
R0099,HORTA,01 2 UA SUNC,2787.5,Horta,proposta,vigent,parcelles.json,,537199.77,26443.52,IGUAL
R0100,CRESPER,01 3 UA SUBLE,3324.7,Cresper,revisat,vigent,parcelles.json,el recinte gros del costat és del veí (Escarpiders),537200.68,25283.32,IGUAL
R0101,COSTELLES_ALTES_2,01 1 UA SUC,2906.1,,proposta,vigent,parcelles.json,,537215.15,25897.1,IGUAL
R0102,CULTIASSA,01 3 UA SUBLE,29744.2,Cultiassa,proposta,vigent,parcelles.json,,537224.01,26943.37,IGUAL
R0103,PUI_D_ENCAMP_2,01 3 UA SUBLE,34722.4,Pui d'Encamp 2,proposta,vigent,parcelles.json,,537238.84,25773.38,IGUAL
R0104,COSTELLES_ALTES_3,01 1 UA SUC,1513.0,,proposta,vigent,parcelles.json,,537246.86,25968.78,IGUAL
R0105,LLENGUADERA,01 1 UA SUC,7662.3,Llenguadera,proposta,vigent,parcelles.json,,537273.1,26464.72,IGUAL
R0106,TRAVESSERES,01 3 UA SUBLE,15523.2,Travesseres,proposta,vigent,parcelles.json,,537277.96,26554.06,IGUAL
